央视,#genre#
CCTV1,https://stream.iptv-search.com/main.php?id=CCTV1&t=1751360581&token=db3123bc4121258544a86a79b87391d4
CCTV2,https://stream.iptv-search.com/main.php?id=CCTV2&t=1751360581&token=f93fc0cb69d938f702abc66f69a77ce2
CCTV3,https://stream.iptv-search.com/main.php?id=CCTV3&t=1751360581&token=2587b2c81def677cabbf967e1c812971
CCTV4,https://stream.iptv-search.com/main.php?id=CCTV4&t=1751360581&token=45ad6c01e97053695dc072875a203c44
CCTV4(1080p),https://stream.iptv-search.com/main.php?id=CCTV4%281080p%29&t=1751360581&token=c6f9b4c203851f800310ca7ad92ed4a8
CCTV5,https://stream.iptv-search.com/main.php?id=CCTV5&t=1751360581&token=73a2da7faf45ab10f3b93e950d8d634b
CCTV5+,https://stream.iptv-search.com/main.php?id=CCTV5%2B&t=1751360581&token=655af0da2ecb3ace2b75e21c939c5967
CCTV6,https://stream.iptv-search.com/main.php?id=CCTV6&t=1751360581&token=cb7c177fe53f57ca0e67e51a2b1277a1
CCTV7,https://stream.iptv-search.com/main.php?id=CCTV7&t=1751360581&token=0b91d9cb23879d42435474d2b0bcb19c
CCTV8,https://stream.iptv-search.com/main.php?id=CCTV8&t=1751360581&token=55a975e690b125dfd9fd835b0c8fd8bb
CCTV9,https://stream.iptv-search.com/main.php?id=CCTV9&t=1751360581&token=ade4c905c08ecfcde8b8929f69d67b17
CCTV10,https://stream.iptv-search.com/main.php?id=CCTV10&t=1751360581&token=369c7332a760ef8b04a641d7ec35f644
CCTV11,https://stream.iptv-search.com/main.php?id=CCTV11&t=1751360581&token=6ccd93819b4a17b0ba802e8264a40126
CCTV12,https://stream.iptv-search.com/main.php?id=CCTV12&t=1751360581&token=ce8644b775d73b638d9cda5d8244cd18
CCTV13,https://stream.iptv-search.com/main.php?id=CCTV13&t=1751360581&token=c2541e1260023a8a4b1e047821958c50
CCTV14,https://stream.iptv-search.com/main.php?id=CCTV14&t=1751360581&token=a8716bb629ddfd207dbfdfcf12ab58e3
CCTV15,https://stream.iptv-search.com/main.php?id=CCTV15&t=1751360581&token=37f6020b6dd98cdccb99642f8c8a5d41
CCTV16,https://stream.iptv-search.com/main.php?id=CCTV16&t=1751360581&token=a81767e6c5a48c52c189a6ecba88ca22
CCTV17,https://stream.iptv-search.com/main.php?id=CCTV17&t=1751360581&token=95b7284c307362e6c16b3a65b6011e47

卫视,#genre#
三沙卫视,https://stream.iptv-search.com/main.php?id=%E4%B8%89%E6%B2%99%E5%8D%AB%E8%A7%86&t=1751360581&token=a4ba8590c2c0da3a57ca445cd40607a1
东南卫视,https://stream.iptv-search.com/main.php?id=%E4%B8%9C%E5%8D%97%E5%8D%AB%E8%A7%86&t=1751360581&token=3e0ad2df15fb9acf5f206a39e3886b5d
东方卫视,https://stream.iptv-search.com/main.php?id=%E4%B8%9C%E6%96%B9%E5%8D%AB%E8%A7%86&t=1751360581&token=180dc7de3c7b34e8eef6cd52a79f11a3
云南卫视,https://stream.iptv-search.com/main.php?id=%E4%BA%91%E5%8D%97%E5%8D%AB%E8%A7%86&t=1751360581&token=c6e794473c010961c89fb0152ad1cd2f
人间卫视,https://stream.iptv-search.com/main.php?id=%E4%BA%BA%E9%97%B4%E5%8D%AB%E8%A7%86&t=1751360581&token=9c3d3be2490a9c22e0895d11943991c6
兵团卫视,https://stream.iptv-search.com/main.php?id=%E5%85%B5%E5%9B%A2%E5%8D%AB%E8%A7%86&t=1751360581&token=6830da4dbdd446955e818a920051c4aa
内蒙古卫视,https://stream.iptv-search.com/main.php?id=%E5%86%85%E8%92%99%E5%8F%A4%E5%8D%AB%E8%A7%86&t=1751360581&token=068dca132734cd4b275d3854d23f2210
北京卫视,https://stream.iptv-search.com/main.php?id=%E5%8C%97%E4%BA%AC%E5%8D%AB%E8%A7%86&t=1751360581&token=2e550629c54a7c77ad4ea2d11bdf4733
卫视中文台,https://stream.iptv-search.com/main.php?id=%E5%8D%AB%E8%A7%86%E4%B8%AD%E6%96%87%E5%8F%B0&t=1751360581&token=e1077d087c04e08a04c287bcddefa18e
卫视电影台,https://stream.iptv-search.com/main.php?id=%E5%8D%AB%E8%A7%86%E7%94%B5%E5%BD%B1%E5%8F%B0&t=1751360581&token=b8db28a5c58b71cba23d78d6b1022269
吉林卫视,https://stream.iptv-search.com/main.php?id=%E5%90%89%E6%9E%97%E5%8D%AB%E8%A7%86&t=1751360581&token=6d49ddb3c4d18131f7b528445ff9c6e0
四川卫视,https://stream.iptv-search.com/main.php?id=%E5%9B%9B%E5%B7%9D%E5%8D%AB%E8%A7%86&t=1751360581&token=210c683f8af8dfd79b8c57436c71718c
大湾区卫视,https://stream.iptv-search.com/main.php?id=%E5%A4%A7%E6%B9%BE%E5%8C%BA%E5%8D%AB%E8%A7%86&t=1751360581&token=67e34bf32c7eee8e10cd342d9cf60b9b
天津卫视,https://stream.iptv-search.com/main.php?id=%E5%A4%A9%E6%B4%A5%E5%8D%AB%E8%A7%86&t=1751360581&token=b9f121f1a4cc3353e03935b751b0df29
安多卫视,https://stream.iptv-search.com/main.php?id=%E5%AE%89%E5%A4%9A%E5%8D%AB%E8%A7%86&t=1751360581&token=036dc9e80299e7a77309947d5b939c5d
山东卫视,https://stream.iptv-search.com/main.php?id=%E5%B1%B1%E4%B8%9C%E5%8D%AB%E8%A7%86&t=1751360581&token=9f96f393f1330c89120af47a73d9af49
山东教育卫视,https://stream.iptv-search.com/main.php?id=%E5%B1%B1%E4%B8%9C%E6%95%99%E8%82%B2%E5%8D%AB%E8%A7%86&t=1751360581&token=c898242cce1501063deeb6ba2cca9417
山西卫视,https://stream.iptv-search.com/main.php?id=%E5%B1%B1%E8%A5%BF%E5%8D%AB%E8%A7%86&t=1751360581&token=6d45dd633f1d8ab6208496655e47eec2
广东卫视,https://stream.iptv-search.com/main.php?id=%E5%B9%BF%E4%B8%9C%E5%8D%AB%E8%A7%86&t=1751360581&token=f6dd2fe078737a2180f0911d0c383008
广西卫视,https://stream.iptv-search.com/main.php?id=%E5%B9%BF%E8%A5%BF%E5%8D%AB%E8%A7%86&t=1751360581&token=ee4d99905b09b7b95005e73a702d27d3
康巴卫视,https://stream.iptv-search.com/main.php?id=%E5%BA%B7%E5%B7%B4%E5%8D%AB%E8%A7%86&t=1751360581&token=689b3e31392c5e06ab5298c6fb558b7a
新疆卫视,https://stream.iptv-search.com/main.php?id=%E6%96%B0%E7%96%86%E5%8D%AB%E8%A7%86&t=1751360581&token=fb979bdd9ecdc5f55933382ac017ab1d
江西卫视,https://stream.iptv-search.com/main.php?id=%E6%B1%9F%E8%A5%BF%E5%8D%AB%E8%A7%86&t=1751360581&token=b7b1e320720723f3abeebab113b5f34a
河北卫视,https://stream.iptv-search.com/main.php?id=%E6%B2%B3%E5%8C%97%E5%8D%AB%E8%A7%86&t=1751360581&token=dd39c76459fd86dea652f9373f902f5e
河南卫视,https://stream.iptv-search.com/main.php?id=%E6%B2%B3%E5%8D%97%E5%8D%AB%E8%A7%86&t=1751360581&token=f806a08dc3ccb8419b7b06345e698f4f
浙江卫视,https://stream.iptv-search.com/main.php?id=%E6%B5%99%E6%B1%9F%E5%8D%AB%E8%A7%86&t=1751360581&token=db99f1592c0873204fbd73666597b27b
海南卫视,https://stream.iptv-search.com/main.php?id=%E6%B5%B7%E5%8D%97%E5%8D%AB%E8%A7%86&t=1751360581&token=8c0a708c09effb6a0c99a92209b9227c
海峡卫视,https://stream.iptv-search.com/main.php?id=%E6%B5%B7%E5%B3%A1%E5%8D%AB%E8%A7%86&t=1751360581&token=f52549288870dc76bd7530d3ca7f03de
深圳卫视,https://stream.iptv-search.com/main.php?id=%E6%B7%B1%E5%9C%B3%E5%8D%AB%E8%A7%86&t=1751360581&token=9e6ed043dc16f34a3579f5e930117b3f
深圳卫视4K,https://stream.iptv-search.com/main.php?id=%E6%B7%B1%E5%9C%B3%E5%8D%AB%E8%A7%864K&t=1751360581&token=34fc45ceb63e96a2fcd7d68a291b5975
湖北卫视,https://stream.iptv-search.com/main.php?id=%E6%B9%96%E5%8C%97%E5%8D%AB%E8%A7%86&t=1751360581&token=80cba84b6b5edde274bdd7d630a027a7
湖南卫视,https://stream.iptv-search.com/main.php?id=%E6%B9%96%E5%8D%97%E5%8D%AB%E8%A7%86&t=1751360581&token=c01db7e09f8ab0024f2abdc53b2e10c3
甘肃卫视,https://stream.iptv-search.com/main.php?id=%E7%94%98%E8%82%83%E5%8D%AB%E8%A7%86&t=1751360581&token=208e338fe1ac29760553803796bd1631
莲花卫视,https://stream.iptv-search.com/main.php?id=%E8%8E%B2%E8%8A%B1%E5%8D%AB%E8%A7%86&t=1751360581&token=c66e0d9f4b75d5f9e428b48787081b55
藏语卫视,https://stream.iptv-search.com/main.php?id=%E8%97%8F%E8%AF%AD%E5%8D%AB%E8%A7%86&t=1751360581&token=a362a22d629c9e2a0bb0010bb7d87a02
西藏卫视,https://stream.iptv-search.com/main.php?id=%E8%A5%BF%E8%97%8F%E5%8D%AB%E8%A7%86&t=1751360581&token=915506568c0fee1f5365a67503ed3c3f
贵州卫视,https://stream.iptv-search.com/main.php?id=%E8%B4%B5%E5%B7%9E%E5%8D%AB%E8%A7%86&t=1751360581&token=60eb6f8ef61f1fe2ba5cf74a9c0523f2
辽宁卫视,https://stream.iptv-search.com/main.php?id=%E8%BE%BD%E5%AE%81%E5%8D%AB%E8%A7%86&t=1751360581&token=52005beb1acfee7f907146481d7dc5c9
重庆卫视,https://stream.iptv-search.com/main.php?id=%E9%87%8D%E5%BA%86%E5%8D%AB%E8%A7%86&t=1751360581&token=0fe43ac0b0930ce6be533a6c44c5a168
陕西卫视,https://stream.iptv-search.com/main.php?id=%E9%99%95%E8%A5%BF%E5%8D%AB%E8%A7%86&t=1751360581&token=70270446aa4223b25d7ff770541fd5f1
青海卫视,https://stream.iptv-search.com/main.php?id=%E9%9D%92%E6%B5%B7%E5%8D%AB%E8%A7%86&t=1751360581&token=459c5d23af1567609874382887e9a0f1
黑龙江卫视,https://stream.iptv-search.com/main.php?id=%E9%BB%91%E9%BE%99%E6%B1%9F%E5%8D%AB%E8%A7%86&t=1751360581&token=5e13ecc35a9c82d698560e3a7c6787d7

斯玛特weixin,#genre#
斯玛特weixin,http://weixin.qq.home.kg/smtv.php
中国,#genre#
中国|CCTV-1 综合 HD,http://weixin.qq.home.kg/smtv.php?id=cctv1
中国|CCTV-2 财经,http://weixin.qq.home.kg/smtv.php?id=cctv2
中国|CCTV-3 综艺 HD,http://weixin.qq.home.kg/smtv.php?id=cctv3
中国|CCTV-4 中文国际,http://weixin.qq.home.kg/smtv.php?id=cctv4
中国|CCTV4 新闻台,http://weixin.qq.home.kg/smtv.php?id=Cctv4
中国|CCTV-5 体育频道,http://weixin.qq.home.kg/smtv.php?id=cctv5
中国|CCTV-5+ 体育赛事 HD,http://weixin.qq.home.kg/smtv.php?id=cctv5plus
中国|CCTV-7 军事农业,http://weixin.qq.home.kg/smtv.php?id=cctv7
中国|CCTV-8 电视剧 HD,http://weixin.qq.home.kg/smtv.php?id=cctv8hd
中国|CCTV-9 记录 HD,http://weixin.qq.home.kg/smtv.php?id=cctv9hd
中国|CCTV-10 科教 HD,http://weixin.qq.home.kg/smtv.php?id=cctv10hd
中国|CCTV-11 戏曲,http://weixin.qq.home.kg/smtv.php?id=cctv11
中国|CCTV-12 社会与法,http://weixin.qq.home.kg/smtv.php?id=cctv12
中国|CCTV-13 新闻频道,http://weixin.qq.home.kg/smtv.php?id=cctv13
中国|CCTV-14 少儿,http://weixin.qq.home.kg/smtv.php?id=cctv14
中国|CCTV-6,http://weixin.qq.home.kg/smtv.php?id=cctv6
中国|CCTV-15 音乐,http://weixin.qq.home.kg/smtv.php?id=cctv15
中国|湖南卫视,http://weixin.qq.home.kg/smtv.php?id=hunan_twn
中国|浙江卫视,http://weixin.qq.home.kg/smtv.php?id=zhejiang_twn
中国|江苏卫视,http://weixin.qq.home.kg/smtv.php?id=jiangsu_twn
中国|深圳卫视,http://weixin.qq.home.kg/smtv.php?id=shenzhen
中国|福建东南卫视,http://weixin.qq.home.kg/smtv.php?id=fujian
中国|广东南方卫视,http://weixin.qq.home.kg/smtv.php?id=nanfang_twn
中国|广东卫视,http://weixin.qq.home.kg/smtv.php?id=guangdongweishi_twn
中国|北京卫视,http://weixin.qq.home.kg/smtv.php?id=beijing
中国|珠江台,http://weixin.qq.home.kg/smtv.php?id=zhujiang
中国|广西卫视,http://weixin.qq.home.kg/smtv.php?id=guangxi
中国|湖北卫视,http://weixin.qq.home.kg/smtv.php?id=hubei
中国|四川卫视,http://weixin.qq.home.kg/smtv.php?id=sichuan_twn
中国|东方卫视,http://weixin.qq.home.kg/smtv.php?id=dongfangweishi_twn
中国|CGTN,http://weixin.qq.home.kg/smtv.php?id=CGTN
中国|凤凰卫视,http://weixin.qq.home.kg/smtv.php?id=phoenixtv_hd
中国|凤凰资讯,http://weixin.qq.home.kg/smtv.php?id=phoenixinfo_hd
香港,#genre#
香港|翡翠台,http://weixin.qq.home.kg/smtv.php?id=jade_twn
香港|翡翠台 backup,http://weixin.qq.home.kg/smtv.php?id=Jade_xue
香港|iNews 新闻台,http://weixin.qq.home.kg/smtv.php?id=inews_twn
香港|J 2,http://weixin.qq.home.kg/smtv.php?id=j2_twn
香港|珍珠台,http://weixin.qq.home.kg/smtv.php?id=pearl_twn
香港|凤凰香港,http://weixin.qq.home.kg/smtv.php?id=hkphoenix_twn
香港|HOY资讯台,http://weixin.qq.home.kg/smtv.php?id=hoycaijing_twn
香港|RHK 31,http://weixin.qq.home.kg/smtv.php?id=rhk31_twn
香港|VIUTV1,http://weixin.qq.home.kg/smtv.php?id=viu1_twn
香港|RHK 32,http://weixin.qq.home.kg/smtv.php?id=rhk32_twn
香港|凤凰卫视,http://weixin.qq.home.kg/smtv.php?id=phoenixtv_hd
香港|凤凰资讯,http://weixin.qq.home.kg/smtv.php?id=phoenixinfo_hd
